pair_ID,pair
01,USDCHF
02,GPBUSD
03,USDJPY
04,EURUSD
05,AUDUSD
06,USDCAD
07,AUDCAD
08,AUDJPY
09,AUDNZD
10,CADJPY
11,EURAUD
12,EURCAD
13,EURGPB
14,EURJPY
15,EURNZD
16,GPBAUD
17,GPBCAD
18,GPBJPY
19,GPBNZD
20,NZDCAD
21,NZDUSD
22,AUDCHF
23,CADCHF
24,CHFJPY
25,EURCHF
26,GPBCHF
27,NZDCHF
28,EURHUF
29,EURPLN
30,USDRON
31,EURCZK
32,EURRUB
33,USDRUB
